id,company_id,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe
1,HDFCBANK,,,,
10,SBILIFE,,,,
11,SBILIFE,,,,
12,SBILIFE,,,,
13,TCS,,,,
14,TCS,,,,
15,TCS,,,,
16,TCS,,,,
17,WIPRO,,,,
18,WIPRO,,,,
19,WIPRO,,,,
2,HDFCBANK,,,,
20,WIPRO,,,,
3,HDFCBANK,,,,
4,HDFCBANK,,,,
5,INFY,,,,
6,INFY,,,,
7,INFY,,,,
8,INFY,,,,
9,SBILIFE,,,,
